word,id
<pad>,0
<unk>,1
<start>,2
<end>,3
.,4
",",5
new,6
said,7
:,8
reuters,9
;,10
',11
ap,12
world,13
company,14
monday,15
wednesday,16
tuesday,17
oil,18
thursday,19
inc,20
friday,21
iraq,22
year,23
39,24
york,25
yesterday,26
president,27
microsoft,28
million,29
says,30
week,31
corp,32
united,33
game,34
prices,35
sunday,36
government,37
group,38
security,39
years,40
today,41
people,42
time,43
percent,44
software,45
quot,46
win,47
team,48
saturday,49
night,50
china,51
internet,52
season,53
deal,54
sales,55
minister,56
second,57
market,58
bush,59
state,60
announced,61
day,62
business,63
billion,64
international,65
2004,66
?,67
killed,68
washington,69
news,70
record,71
officials,72
victory,73
report,74
profit,75
open,76
city,77
plans,78
end,79
stocks,80
court,81
service,82
states,83
home,84
set,85
european,86
chief,87
lead,88
technology,89
talks,90
cup,91
american,92
computer,93
search,94
online,95
league,96
country,97
10,98
national,99
reported,100
shares,101
british,102
bank,103
japan,104
federal,105
afp,106
india,107
police,108
prime,109
network,110
major,111
google,112
red,113
research,114
iraqi,115
according,116
space,117
south,118
leader,119
music,120
companies,121
help,122
maker,123
final,124
month,125
web,126
bid,127
games,128
plan,129
san,130
series,131
hit,132
coach,133
high,134
london,135
largest,136
baghdad,137
expected,138
industry,139
election,140
mobile,141
won,142
giant,143
big,144
growth,145
way,146
services,147
quarter,148
early,149
sports,150
data,151
system,152
wireless,153
north,154
trade,155
dollar,156
earnings,157
military,158
cut,159
australia,160
war,161
gold,162
union,163
nuclear,164
buy,165
higher,166
john,167
phone,168
test,169
players,170
official,171
start,172
palestinian,173
left,174
loss,175
stock,176
agreed,177
months,178
apple,179
days,180
attack,181
sox,182
troops,183
oracle,184
latest,185
olympic,186
global,187
israeli,188
windows,189
firm,190
gaza,191
russia,192
intel,193
england,194
rose,195
air,196
executive,197
found,198
like,199
jobs,200
west,201
users,202
press,203
including,204
general,205
rise,206
reports,207
iran,208
price,209
man,210
play,211
released,212
despite,213
points,214
economy,215
drug,216
ago,217
20,218
boston,219
forces,220
pay,221
ahead,222
biggest,223
past,224
near,225
football,226
europe,227
canadian,228
release,229
athens,230
economic,231
investors,232
peace,233
peoplesoft,234
car,235
head,236
russian,237
offer,238
key,239
street,240
beat,241
work,242
pakistan,243
held,244
case,245
free,246
use,247
public,248
strong,249
power,250
2005,251
title,252
foreign,253
nearly,254
weeks,255
run,256
presidential,257
video,258
workers,259
tokyo,260
bomb,261
attacks,262
wins,263
america,264
israel,265
nations,266
nation,267
share,268
financial,269
support,270
close,271
systems,272
media,273
agency,274
launch,275
australian,276
championship,277
kerry,278
leaders,279
round,280
contract,281
fall,282
sun,283
french,284
wall,285
house,286
linux,287
number,288
fell,289
11,290
francisco,291
called,292
men,293
scientists,294
long,295
lower,296
took,297
crude,298
october,299
face,300
september,301
death,302
st,303
player,304
killing,305
following,306
darfur,307
digital,308
ibm,309
florida,310
job,311
leading,312
arafat,313
capital,314
return,315
rival,316
charges,317
program,318
seven,319
version,320
army,321
chicago,322
consumer,323
late,324
good,325
quote,326
life,327
agreement,328
commission,329
korea,330
demand,331
japanese,332
campaign,333
right,334
trial,335
vote,336
france,337
bill,338
center,339
hurricane,340
future,341
race,342
party,343
region,344
strike,345
products,346
site,347
dead,348
yankees,349
study,350
30,351
board,352
12,353
britain,354
women,355
half,356
customers,357
away,358
conference,359
results,360
battle,361
best,362
fourth,363
decision,364
defense,365
meeting,366
november,367
costs,368
militants,369
northern,370
office,371
sudan,372
gets,373
takes,374
political,375
elections,376
manager,377
management,378
champions,379
sony,380
southern,381
school,382
chip,383
line,384
energy,385
cuts,386
recent,387
judge,388
amp,389
email,390
champion,391
fight,392
little,393
profile,394
central,395
hopes,396
net,397
california,398
update,399
sell,400
making,401
quarterly,402
force,403
hostage,404
canada,405
told,406
health,407
claims,408
fans,409
department,410
interest,411
los,412
thirdquarter,413
michael,414
giants,415
straight,416
place,417
increase,418
scored,419
likely,420
un,421
saying,422
amid,423
field,424
real,425
baseball,426
university,427
running,428
mark,429
taking,430
winning,431
club,432
rates,433
launched,434
look,435
unit,436
tax,437
source,438
angeles,439
violence,440
grand,441
lost,442
history,443
chinese,444
weekend,445
times,446
chairman,447
germany,448
match,449
hits,450
star,451
50,452
stores,453
texas,454
east,455
small,456
houston,457
15,458
trading,459
accused,460
rebels,461
server,462
rate,463
control,464
shot,465
better,466
oct,467
seen,468
phones,469
action,470
boost,471
possible,472
profits,473
aid,474
williams,475
change,476
desktop,477
injured,478
meet,479
afghanistan,480
led,481
drop,482
come,483
makes,484
soldiers,485
information,486
hold,487
operating,488
nasa,489
going,490
calls,491
senior,492
ipod,493
august,494
communications,495
revenue,496
warned,497
yahoo,498
german,499
reach,500
thousands,501
low,502
morning,503
exchange,504
bankruptcy,505
law,506
airlines,507
tech,508
paris,509
takeover,510
rally,511
nov,512
18,513
showed,514
radio,515
access,516
indian,517
reserve,518
white,519
100,520
gas,521
posted,522
afghan,523
uk,524
forecast,525
barrel,526
medal,527
stadium,528
production,529
africa,530
tour,531
21,532
cash,533
fire,534
offering,535
ready,536
step,537
wants,538
markets,539
coast,540
cell,541
spain,542
television,543
david,544
got,545
old,546
opposition,547
euro,548
engine,549
outlook,550
sale,551
begin,552
stake,553
secretary,554
toronto,555
division,556
helped,557
soon,558
14,559
pc,560
probe,561
association,562
fuel,563
concerns,564
began,565
earlier,566
find,567
money,568
sign,569
blair,570
signed,571
13,572
human,573
olympics,574
stop,575
americans,576
fund,577
ltd,578
came,579
efforts,580
sept,581
store,582
corporate,583
countries,584
networks,585
gains,586
insurance,587
opening,588
died,589
target,590
members,591
16,592
threat,593
legal,594
product,595
airline,596
station,597
administration,598
african,599
local,600
analysts,601
ended,602
green,603
arrested,604
council,605
post,606
trying,607
investment,608
cost,609
25,610
spending,611
need,612
visit,613
competition,614
continue,615
rules,616
food,617
teams,618
airways,619
arsenal,620
!,621
madrid,622
charged,623
computers,624
great,625
growing,626
list,627
supply,628
17,629
family,630
hours,631
fighting,632
terror,633
looking,634
personal,635
retail,636
western,637
heart,638
outside,639
authorities,640
flight,641
far,642
george,643
miami,644
beijing,645
offers,646
sharon,647
gave,648
pressure,649
starting,650
rights,651
manchester,652
weapons,653
reached,654
ruling,655
effort,656
holiday,657
consumers,658
paul,659
performance,660
fears,661
ban,662
development,663
executives,664
sees,665
italian,666
blue,667
coming,668
finally,669
bay,670
suicide,671
crisis,672
aimed,673
bowl,674
children,675
cisco,676
151,677
black,678
retailer,679
charge,680
dell,681
quarterback,682
survey,683
devices,684
taken,685
drive,686
popular,687
yards,688
getting,689
push,690
failed,691
labor,692
seattle,693
blast,694
operations,695
researchers,696
kill,697
shows,698
continued,699
main,700
problems,701
electronics,702
injury,703
ivan,704
yasser,705
hope,706
storm,707
filed,708
rebel,709
rising,710
policy,711
palestinians,712
rivals,713
davis,714
soccer,715
focus,716
fraud,717
moscow,718
powerful,719
raised,720
missing,721
private,722
kills,723
suspected,724
24,725
19,726
want,727
hard,728
defeat,729
warning,730
firms,731
asian,732
challenge,733
short,734
working,735
basketball,736
chips,737
leave,738
selling,739
turn,740
signs,741
faces,742
merger,743
winter,744
atlanta,745
designed,746
mission,747
yukos,748
annual,749
investigation,750
2006,751
jones,752
goal,753
point,754
risk,755
allow,756
college,757
planned,758
try,759
dollars,760
issue,761
went,762
calif,763
large,764
satellite,765
career,766
fresh,767
64,768
debt,769
lawsuit,770
asia,771
delta,772
staff,773
tony,774
area,775
businesses,776
chance,777
issues,778
park,779
sold,780
expectations,781
storage,782
town,783
fired,784
provide,785
groups,786
hundreds,787
launches,788
named,789
seeks,790
miss,791
muslim,792
regulators,793
bring,794
cp,795
attempt,796
nokia,797
securities,798
available,799
sites,800
island,801
italy,802
al,803
officer,804
sent,805
claim,806
order,807
detroit,808
prison,809
najaf,810
employees,811
guard,812
experts,813
hospital,814
track,815
ryder,816
debate,817
militant,818
singh,819
singapore,820
drugs,821
cricket,822
losses,823
build,824
worth,825
closer,826
runs,827
boeing,828
approved,829
astros,830
fallujah,831
democratic,832
earth,833
let,834
young,835
browser,836
december,837
johnson,838
islamic,839
known,840
medical,841
alleged,842
water,843
body,844
captain,845
ireland,846
nasdaq,847
walmart,848
asked,849
lines,850
safety,851
strip,852
brazil,853
philadelphia,854
terrorism,855
congress,856
unveiled,857
current,858
finance,859
ground,860
technologies,861
confirmed,862
process,863
urged,864
given,865
22,866
hostages,867
holding,868
moon,869
goes,870
looks,871
putin,872
rises,873
speed,874
woods,875
40,876
clear,877
later,878
project,879
role,880
sets,881
tournament,882
settle,883
warns,884
dow,885
comes,886
louis,887
decided,888
nfl,889
sprint,890
building,891
enterprise,892
create,893
poll,894
applications,895
disney,896
giving,897
road,898
added,899
woman,900
equipment,901
kidnapped,902
average,903
increased,904
losing,905
stay,906
tv,907
changes,908
double,909
eu,910
offensive,911
insurgents,912
brown,913
acquire,914
broadband,915
cent,916
posts,917
turned,918
bonds,919
jets,920
prize,921
greece,922
moved,923
playing,924
ceo,925
credit,926
bad,927
event,928
pilots,929
accounting,930
spam,931
spokesman,932
wounded,933
claimed,934
